arxiv,date,title,authors,categories,comments,report_no,journal_ref,doi,abstract,link,label
arXiv:2401.16343 ," Mon, 29 Jan 2024 17:48:51 GMT  (26kb) ", Quantization of Einstein-Cartan theory in the first order form ," F. T. Brandt, J. Frenkel, S. Martins-Filho, D. G. C. McKeon ", hep-th , 18 pages. To be published in Annals of Physics ,NA," Annals of Physics 462, 169607 (2024) ", 10.1016/j.aop.2024.169607 ,"   We consider the Einstein-Cartan theory with the tetrad $e_{\mu}^{a}$ and spin connection $\omega_{\mu ab}$ taken as being independent fields. Diffeomorphism invariance and local Lorentz invariance result in there being two distinct gauge transformations in this approach, and consequently two ghost fields arise when employing the usual Faddeev-Popov quantization procedure. Our choice of gauge fixing retains the gauge invariances of the background field. We show that the gauge algebra is closed even in the presence of torsion, and the resulting BRST invariance can be found for the effective action. We also derive the Slavnov-Taylor identities, which reflect the BRST symmetries of this theory. ",https://arxiv.org/abs/2401.16343,0
arXiv:2401.16385 ," Mon, 29 Jan 2024 18:25:58 GMT  (1170kb) ", Dipole superfluid hydrodynamics II ," Akash Jain, Kristan Jensen, Ruochuan Liu, Eric Mefford ", hep-th cond-mat.str-el , 54 pages; we have included a Mathematica notebook to the arXiv  submission which computes dispersion relations and response functions ,NA,NA,NA,"   We present a dissipative hydrodynamic theory of ""s-wave dipole superfluids"" that arise in phases of translation-invariant and dipole-symmetric models in which the U(1) symmetry is spontaneously broken. The hydrodynamic description is subtle on account of an analogue of dangerously irrelevant operators, which requires us to formalize an entirely new derivative counting scheme suitable for these fluids. We use our hydrodynamic model to investigate the linearized response of such a fluid, characterized by sound modes $\omega \sim \pm k - ik^2$, shear modes $\omega\sim-ik^2$, and magnon-like propagating modes $\omega \sim \pm k^2 - ik^4$ that are the dipole-invariant version of superfluid ""second sound"" modes. We find that these fluids can also admit equilibrium states with ""dipole superflow"" that resemble a polarized medium. Finally, we couple our theory to slowly varying background fields, which allows us to compute response functions of hydrodynamic operators and Kubo formulas for hydrodynamic transport coefficients. ",https://arxiv.org/abs/2401.16385,0
arXiv:2401.16400 ," Mon, 29 Jan 2024 18:39:52 GMT  (41kb,D) ", Gravity and $T\bar{T}$ flows in higher dimensions ," Tommaso Morone, Stefano Negro, Roberto Tateo ", hep-th , 35 pages ,NA,NA,NA,"   In this work we propose a generalisation to arbitrary space-time dimension of the well-known equivalence between two-dimensional $T\bar{T}$ deformations and coupling to Jackiw-Teitelboim gravity. Focusing on the $T\bar{T}$-type flows in general dimension recently proposed by one of the authors, we introduce an alternative viewpoint, as coupling to the class of Ricci-based massive gravity theories. This alternative definition rests on the existence of a class of dynamical equivalences between modified massive gravity theories coupled with matter sectors which, in turn, engenders a flow controlled by a parameter proportional to the inverse square of the gravitational mass scale. We conjecture this dynamical equivalence to have a wide range of validity, particularly holding for theories in arbitrary space-time dimensions, and provide a detailed analysis for some examples in $d=4$ dimensions. ",https://arxiv.org/abs/2401.16400,0
arXiv:2401.16401 ," Mon, 29 Jan 2024 18:41:05 GMT  (123kb,D) ", Effective mass and symmetry breaking in the IKKT matrix model from  compactification , Samuel Laliberte , hep-th ,NA,NA,NA,NA,"   The IKKT model is a promising candidate for a non-perturbative description of Type IIB superstring theory. It is known from analytic approaches and numerical simulations that the IKKT matrix model with a mass term admits interesting cosmological solutions. However, this mass term is often introduced by hand, and serves as a regulator in the theory. In the present paper, we show that an effective mass matrix can arise naturally in the IKKT model by imposing a toroidal compactification where the space-time fermions acquire anti-periodic boundary conditions. When six spatial dimensions are chosen to be compact, the effective mass matrix breaks the SO(1,9) space-time symmetry of the IKKT model to SO(1,3) $\times$ SO(6). This paves the way for space-time solutions of the IKKT model where SO(1,9) symmetry is naturally broken to SO(1,3) $\times$ SO(6). ",https://arxiv.org/abs/2401.16401,0
arXiv:2401.15125 ," Fri, 26 Jan 2024 11:49:35 GMT  (1192kb,D) "," Constraining $f(T,B,T_G,B_G)$ gravity by dynamical system analysis "," S.A.Kadam, B.Mishra ", gr-qc hep-th ," 17 pages, 4 figures, 6 tables. Constructive comments are welcome ",NA,NA,NA,"   The evolutionary behavior of the Universe has been analysed through the dynamical system analysis in $f(T,B,T_G,B_G)$ gravity, where $T$, $B$, $T_G$, and $B_G$ respectively represent torsion, boundary term, teleparallel Gauss-Bonnet term and Gauss-Bonnet boundary term. We use the transformation, $f(T,B,T_G,B_G)=-T+\mathcal{F}(T, B, T_G, B_G)$ in order to obtain the deviation from the Teleparallel Equivalent of General Relativity (TEGR). Two cosmological models pertaining to the functional form of $\mathcal{F}(T, B, T_G, B_G)$ have been studied. The well motivated forms are: (i) $\mathcal{F}(T, B, T_G, B_G) = f_{0} T^{m} B^{n}T_{G}^{k}$ and (ii) $\mathcal{F}(T, B, T_G, B_G)=b_{0} B + g_{0} T_{G}^{k} $. The evolutionary phases of the Universe have been identified through the detailed analysis of the critical points. Further, with the eigenvalues and phase space diagrams, the stability and attractor nature of the accelerating solution have been explored. The evolution plots have been analyzed for the corresponding cosmology and compatibility with the present observed value of standard density parameters have been shown. ",https://arxiv.org/abs/2401.15125,0
arXiv:2401.15136 ," Fri, 26 Jan 2024 17:27:36 GMT  (59kb,D) ", On the Wormhole--Warp Drive Correspondence , R. Garattini and K. Zatrimaylov , gr-qc hep-th ," RevTeX4 6 pages, 1 figure ",NA,NA,NA,"   We propose a correspondence between the Morris--Thorne wormhole metric and a warp drive metric, which generalizes an earlier result by H. Ellis regarding the Schwarzschild black hole metric and makes it possible to embed a warp drive in a wormhole background. We demonstrate that in order to do that, one needs to also generalize the Natario--Alcubierre definition of warp drive and introduce nonzero intrinsic curvature. However, we also find out that in order to be traversable by a warp drive, the wormhole should have a horizon: in other words, humanly traversable wormholes cannot be traversed by a warp drive, and vice versa. We also discuss possible loopholes in this ""no-go"" theorem. ",https://arxiv.org/abs/2401.15136,-1
arXiv:2401.15184 ," Fri, 26 Jan 2024 20:05:15 GMT  (3466kb,D) ", Entanglement Entropy of ($2+1$)-Dimensional SU(2) Lattice Gauge Theory ," Lukas Ebner, Andreas Sch\""afer, Clemens Seidl, Berndt M\""uller and  Xiaojun Yao ", hep-lat cond-mat.stat-mech hep-ph hep-th quant-ph ," 15 pages, 15 figures ", IQuS@UW-21-070 ,NA,NA,"   We study the entanglement entropy of Hamiltonian SU(2) lattice gauge theory in $2+1$ dimensions on linear plaquette chains and show that the entanglement entropies of both ground and excited states follow Page curves. The transition of the subsystem size dependence of the entanglement entropy from the area law for the ground state to the volume law for highly excited states is found to be described by a universal crossover function. Quantum many-body scars in the middle of the spectrum, which are present in the electric flux truncated Hilbert space, where the gauge theory can be mapped onto an Ising model, disappear when higher electric field representations are included in the Hilbert space basis. This suggests the continuum $(2+1)$-dimensional SU(2) gauge theory is a ``fast'' scrambler. ",https://arxiv.org/abs/2401.15184,0
arXiv:2401.15211 ," Fri, 26 Jan 2024 21:21:00 GMT  (515kb,D) ", Charged Black Holes with Yukawa Potential ," A. A. Ara\'ujo Filho, Kimet Jusufi, B. Cuadros-Melgar, Genly Leon,  Abdul Jawad ", gr-qc hep-th ," 17 pages in two column, 13 figures and 2 tables ",NA,NA,NA,"   This study derives a novel family of charged black hole solutions featuring short- and long-range modifications. These ones are achieved through a Yukawa-like gravitational potential modification and a nonsingular electric potential incorporation. The short-range corrections encode quantum gravity effects, while the long-range adjustments simulate gravitational effects akin to those attributed to dark matter. Our investigation reveals that the total mass of the black hole undergoes corrections owing to the apparent presence of dark matter mass and the self-adjusted electric charge mass. Two distinct solutions are discussed: a regular black hole solution characterizing small black holes, where quantum effects play a crucial role, and a second solution portraying large black holes at considerable distances, where the significance of Yukawa corrections comes into play. Notably, these long-range corrections contribute to an increase in the total mass and hold particular interest as they can emulate the role of dark matter. Finally, we explore the phenomenological aspects of the black hole. Specifically, we examine the influence of electric charge and Yukawa parameters on thermodynamic quantities, the quasinormal modes for vector perturbations, analysis of the geodesics of light/massive particles, and the accretion of matter onto the charged black hole solution. ",https://arxiv.org/abs/2401.15211,0
arXiv:2401.15214 ," Fri, 26 Jan 2024 21:35:27 GMT  (530kb,D) ", A quantitative analysis of the effect of box size in N-body simulations  of the matter power spectrum ," Maxim Eingorn, Ezgi Yilmaz, A. Emrah Y\""ukselci, Alexander Zhuk ", gr-qc astro-ph.CO hep-ph hep-th ," 8 pages, 2 tables, 3 figures ",NA,NA,NA,"   We study the effect of box size on the matter power spectrum obtained via cosmological N-body simulations. Within the framework of the cosmic screening approach, we show that the relative deviation between the spectra for our largest comoving box with L = 5632 Mpc/h and those for L = 280, 560, 1680, 4480, 5120 Mpc/h boxes consistently increases with decreasing box size in the latter set in the redshift range $0\leq z\leq 80$ for the considered values. As an additional demonstrative example, at redshift zero, we determine the values $k_{1\%}$ corresponding to the modes at which relative deviations reach 1\%. ",https://arxiv.org/abs/2401.15214,0
arXiv:2401.15249 ," Fri, 26 Jan 2024 23:52:33 GMT  (4232kb,D) ", Shadow images of compact objects in beyond Horndeski theory ," Hyat Huang, Jutta Kunz and Deeshani Mitra ", gr-qc hep-th ," 28 pages, 18 figures, Comments welcome ",NA,NA,NA,"   A beyond Horndeski theory is considered that admits wormholes, black holes and naked singularities. In this theory the shadow images of the black holes and the exotic compact objects (ECOs), illuminated by an optically and geometrically thin disk, are investigated. The results show that the three kinds of objects cast unlike shadow images, in particular, because the different objects possess a different number of light rings. The different boundaries of the accretion disk also affect the images. This may provide further insight into the nature of the shadow images of massive compact objects. ",https://arxiv.org/abs/2401.15249,0
arXiv:2401.15430 ," Sat, 27 Jan 2024 14:52:07 GMT  (19kb) ", Note on thermodynamics of Schwarzschild-like bumblebee black hole , Yu-Sen An , gr-qc hep-th ," 5 pages, no figures ",NA,NA,NA,"   In this work, we investigated the thermodynamics of Schwarzschild-like bumblebee black hole using Wald covariant phase space formalism. With a non zero vacuum expectation value, the bumblebee field is responsible for spontaneously breaking the Lorentz symmetry. As the bumblebee field is non-minimally coupled to gravity, we showed that the thermodynamic variable will be different from the counterpart in Einstein gravity. Especially, by using Wald formalism, we found that the black hole entropy also differs from the result obtained from Wald entropy formula. Like Horndeski gravity, this mismatch is due to the divergence of bumblebee vector field at the horizon. After figuring out the thermodynamics, we also briefly discussed the evaporation behavior of Schwarzschild like bumblebee black hole. We found that although bumblebee field has no influence on the critical impact factor, it can influence the black hole evaporation time. ",https://arxiv.org/abs/2401.15430,0
arXiv:2401.15435 ," Sat, 27 Jan 2024 15:06:14 GMT  (4643kb,D) ", Research on the application of loop quantum theory model in black hole  quantum information , Yangting Liu , gr-qc hep-th ," 43pages,15figures ",NA,NA,NA,"   An important reason why it is currently difficult to unify relativity theory and quantum theory is the quantum information paradox. The information engulfment pointed out by general relativity violates the principles of quantum mechanics. An important reason why the industry does not have a clear understanding of this phenomenon is the current lack of a theoretically solvable cosmological model. Based on the complete model of loop quantum theory, this article solves different levels of Hamiltonian constraint models and simulates black hole information transfer dynamics, especially at extreme points, from analytical results to step-by-step quantum corrections, and attempts to compare the performance of different physical models in simulating quantum Advantages during information transmission. Our study shows that even second-order expansions are sufficient to distinguish differences in dynamics at the black hole extremes, but to truly identify a model that has the potential to describe quantum information transfer mechanisms and is significantly different from other models, the theoretical analytical solution should at least extend to Level three and above. In addition, the research results such as computational simulation methods and related conclusions cited and improved in this article can provide certain theoretical support and new insights for the research prospects of general relativity loop quantum cosmology and the intersection of quantum information and quantum fields. ",https://arxiv.org/abs/2401.15435,0
arXiv:2401.15467 ," Sat, 27 Jan 2024 17:34:28 GMT  (1727kb,D) "," Fermions, quantum gravity and holography in two dimensions "," Muhammad Asaduzzaman, Simon Catterall, Abhishek Samlodia ", hep-lat hep-th ," 8 pages, 14 figures ",NA,NA,NA,"   We study a model comprising $N$ flavors of K\""ahler Dirac fermion propagating on a triangulated two dimensional disk which is constrained to have a negative average bulk curvature. Dirichlet boundary conditions are chosen for the fermions. Quantum fluctuations of the geometry are included by summing over all possible triangulations consistent with these constraints. We show in the limit $N\to \infty$ that the partition function is dominated by a regular triangulation of two dimensional hyperbolic space. We use strong coupling expansions and Monte Carlo simulation to show that in this limit boundary correlators of the fermions have a power law dependence on boundary separation as one expects from holography. However we argue that this behavior breaks down for any finite number of massive fields in the thermodynamic limit and quantum fluctuations of the bulk geometry drive the theory into a non-holographic phase. In contrast, for massless fermions we find evidence that the boundary is conformal even for finite $N$. This is consistent with theoretical results in quantum Liouville theory. ",https://arxiv.org/abs/2401.15467,-1
arXiv:2401.15516 ," Sat, 27 Jan 2024 22:17:51 GMT  (173kb,D) ", The excitation of quadratic quasinormal modes for Kerr black holes ," Sizheng Ma, Huan Yang ", gr-qc hep-th ,NA,NA,NA,NA,"   The excitation of quadratic quasinormal modes is an important nonlinear phenomenon for a Kerr black hole ringing at a specific linear mode. The amplitude of this second-order effect is proportional to the square of the linear mode amplitude, with the ratio being linked to the nature of the Kerr black hole. Focusing on the linear $(l=m=2,n=0)$ mode, we compute the dependency of the ratio on the dimensionless spin of the black hole, ranging up to 0.99, with the method applicable for more general mode couplings. Our calculation makes use of the frequency-domain, second-order Teukolsky equation, which involves two essential steps (a) analytically reconstructing the metric through the Chrzanowski-Cohen-Kegeles approach and (b) numerically solving the second-order Teukolsky equation using the shooting method along a complex contour. We find that the spin dependence of the ratio shows a strong correlation with the angular overlap between parent and child modes, providing qualitative insights into the origin of the dependence. Depending on the nature of the angular overlap, the ratio decreases with spin in scenarios such as the channel $(l=m=2,n=0)\times(l=m=2,n=0)\to(l=m=4)$ or increases in situations like $(l=m=2,n=0)\times(l=m=2,n=0)\to(l=5,m=4)$. For both cases, the ratios do not vanish in the extremal limit. As a byproduct, we find that the Weyl scalars can be concisely expressed with the Hertz potential. ",https://arxiv.org/abs/2401.15516,0
arXiv:2401.15618 ," Sun, 28 Jan 2024 10:11:01 GMT  (17kb) ", Horizons and Null Infinity: A Fugue in 4 voices , Abhay Ashtekar and Simone Speziale , gr-qc hep-th , 9 pages ,NA,NA,NA,"   Black hole horizons in equilibrium and null infinity of asymptotically flat space-times are null 3-manifolds but have very different physical connotations. We first show that they share a large number of geometric properties, making them both weakly isolated horizons. We then use this new unified perspective to unravel the origin of the drastic differences in the physics they contain. Interestingly, the themes are woven together in a manner reminiscent of voices in a fugue. ",https://arxiv.org/abs/2401.15618,0
arXiv:2401.15654 ," Sun, 28 Jan 2024 13:13:07 GMT  (27kb) ", Accretion of matter by a Charged dilaton black hole ," Yinan Jia, Tong-Yu He, Wen-Qian Wang, Zhan-Wen Han, Rong-Jia Yang ", gr-qc astro-ph.HE hep-th ," 9 pages, 3 figures ",NA,NA,NA,"   Considering accretion onto a charged dilaton black hole, the fundamental equations governing accretion, general analytic expressions for critical points, critical velocity, critical speed of sound, and ultimately the mass accretion rate are obtained. A new constraint on the dilation parameter coming from string theory is found and the case for polytropic gas is delved into a detailed discussion. It is found that the dialtion and the adiabatic index of accreted material have deep effects on the accretion process. ",https://arxiv.org/abs/2401.15654,0
arXiv:2401.15782 ," Sun, 28 Jan 2024 22:18:40 GMT  (605kb,D) ", Constraints on an Anisotropic Universe ," Mark P. Hertzberg, Abraham Loeb ", astro-ph.CO gr-qc hep-ph hep-th ," 9 pages in double column format, 4 figures ",NA,NA,NA,"   We analyze the possibility of global anisotropy of the universe. We consider an altered FLRW metric in which there are different scale factors along the 3 different axes of space. We construct the corresponding altered Friedmann equations. We show that any initial anisotropies decrease into the future. At late times, the difference in Hubble parameters changes as $1/\sqrt{t}$ in a radiation dominated era and as $1/t$ in a matter dominated era. We use constraints from Big Bang Nucleosynthesis and the Cosmic Microwave Background to constrain the level of anisotropies at early times. We also examine how the approach back in time to the singularity is radically altered; happening much more abruptly, as a function of density, in an anisotropic universe. We also mention improved bounds that can arise from measurements of primordial gravitons, WIMPs, and neutrinos. ",https://arxiv.org/abs/2401.15782,0
arXiv:2401.15965 ," Mon, 29 Jan 2024 08:52:32 GMT  (1070kb,D) ", Resonant Graviton-Photon Conversion with Stochastic Magnetic Field in  the Expanding Universe ," Andrea Addazi, Salvatore Capozziello, Qingyu Gan ", gr-qc astro-ph.CO hep-ph hep-th ," 29 pages, 5 figures ",NA,NA,NA,"   We investigate graviton-photon oscillations sourced by cosmological magnetic fields from Gertsenshtein effect. We adopt a robust perturbative approach and we find that the conversion probability from graviton to photon can be resonantly enhanced in monochromatic, multi-chromatic and scale invariant spectrum models of stochastic magnetic field fluctuations. In addition, the expansion of the Universe acts as a decoherence factor, which demands a natural discretization scheme along the line of sight. Including also decoherence from cosmic acceleration, we find that conversion probabilities for stochastic magnetic fields are completely different than results predicted from existing magnetic domain-like models in a wide range of magnetic strengths and coherence lengths. Resonances can be tested by radio telescopes as a probe of high frequency gravitational wave sources and primordial magnetogenesis mechanisms. ",https://arxiv.org/abs/2401.15965,0
arXiv:2401.16000 ," Mon, 29 Jan 2024 09:39:24 GMT  (124kb) ", Visualization of Entanglement Geometry by Structural Optimization of  Tree Tensor Network ," Toshiya Hikihara, Hiroshi Ueda, Kouichi Okunishi, Kenji Harada,  Tomotoshi Nishino ", cond-mat.stat-mech hep-lat hep-th quant-ph ," 9 pages, 5 figures, 1 table ",NA,NA,NA,"   In tensor-network analysis of quantum many-body systems, it is of crucial importance to employ a tensor network with a spatial structure suitable for representing the state of interest. In the previous work [Hikihara et al., Phys. Rev. Research 5, 013031 (2023)], we proposed a structural optimization algorithm for tree-tensor networks. In this paper, we apply the algorithm to the Rainbow-chain model, which has a product state of singlet pairs between spins separated by various distances as an approximate ground state. We then demonstrate that the algorithm can successfully visualize the spatial pattern of spin-singlet pairs in the ground state. ",https://arxiv.org/abs/2401.16000,0
